model_id,location,origin_date,horizon,target_end_date,target,output_type,output_type_id,value
nfidd-backfill,US National,2016-12-24,1,2016-12-31,ili perc,quantile,0.01,1.752814366244423
nfidd-backfill,US National,2016-12-24,1,2016-12-31,ili perc,quantile,0.025,1.9584236320676494
nfidd-backfill,US National,2016-12-24,1,2016-12-31,ili perc,quantile,0.05,2.0661884232722345
nfidd-backfill,US National,2016-12-24,1,2016-12-31,ili perc,quantile,0.1,2.3086595521459814
nfidd-backfill,US National,2016-12-24,1,2016-12-31,ili perc,quantile,0.15,2.438764382625349
nfidd-backfill,US National,2016-12-24,1,2016-12-31,ili perc,quantile,0.2,2.514227779040493
nfidd-backfill,US National,2016-12-24,1,2016-12-31,ili perc,quantile,0.25,2.620037168454984
nfidd-backfill,US National,2016-12-24,1,2016-12-31,ili perc,quantile,0.3,2.6893656228813585
nfidd-backfill,US National,2016-12-24,1,2016-12-31,ili perc,quantile,0.35,2.7421269826877404
nfidd-backfill,US National,2016-12-24,1,2016-12-31,ili perc,quantile,0.4,2.779425105731141
nfidd-backfill,US National,2016-12-24,1,2016-12-31,ili perc,quantile,0.45,2.8536746491136626
nfidd-backfill,US National,2016-12-24,1,2016-12-31,ili perc,quantile,0.5,2.936845686956121
nfidd-backfill,US National,2016-12-24,1,2016-12-31,ili perc,quantile,0.55,3.032314830127466
nfidd-backfill,US National,2016-12-24,1,2016-12-31,ili perc,quantile,0.6,3.1234819362896573
nfidd-backfill,US National,2016-12-24,1,2016-12-31,ili perc,quantile,0.65,3.170334155983255
nfidd-backfill,US National,2016-12-24,1,2016-12-31,ili perc,quantile,0.7,3.3103354025304874
nfidd-backfill,US National,2016-12-24,1,2016-12-31,ili perc,quantile,0.75,3.3895297714942116
nfidd-backfill,US National,2016-12-24,1,2016-12-31,ili perc,quantile,0.8,3.5359612905882685
nfidd-backfill,US National,2016-12-24,1,2016-12-31,ili perc,quantile,0.85,3.6957158029805326
nfidd-backfill,US National,2016-12-24,1,2016-12-31,ili perc,quantile,0.9,3.9169405149067438
nfidd-backfill,US National,2016-12-24,1,2016-12-31,ili perc,quantile,0.95,4.38472908356845
nfidd-backfill,US National,2016-12-24,1,2016-12-31,ili perc,quantile,0.975,4.469972865415391
nfidd-backfill,US National,2016-12-24,1,2016-12-31,ili perc,quantile,0.99,4.568994507958214
nfidd-backfill,US National,2016-12-24,2,2017-01-07,ili perc,quantile,0.01,1.5715630032693022
nfidd-backfill,US National,2016-12-24,2,2017-01-07,ili perc,quantile,0.025,1.996354734780858
nfidd-backfill,US National,2016-12-24,2,2017-01-07,ili perc,quantile,0.05,2.0916242692705733
nfidd-backfill,US National,2016-12-24,2,2017-01-07,ili perc,quantile,0.1,2.251338726472037
nfidd-backfill,US National,2016-12-24,2,2017-01-07,ili perc,quantile,0.15,2.319538039111592
nfidd-backfill,US National,2016-12-24,2,2017-01-07,ili perc,quantile,0.2,2.4901726642080795
nfidd-backfill,US National,2016-12-24,2,2017-01-07,ili perc,quantile,0.25,2.5980496393167596
nfidd-backfill,US National,2016-12-24,2,2017-01-07,ili perc,quantile,0.3,2.680192148509083
nfidd-backfill,US National,2016-12-24,2,2017-01-07,ili perc,quantile,0.35,2.7424147285040075
nfidd-backfill,US National,2016-12-24,2,2017-01-07,ili perc,quantile,0.4,2.8582242731711913
nfidd-backfill,US National,2016-12-24,2,2017-01-07,ili perc,quantile,0.45,2.9700209776787703
nfidd-backfill,US National,2016-12-24,2,2017-01-07,ili perc,quantile,0.5,3.022774370807948
nfidd-backfill,US National,2016-12-24,2,2017-01-07,ili perc,quantile,0.55,3.0864263105229206
nfidd-backfill,US National,2016-12-24,2,2017-01-07,ili perc,quantile,0.6,3.189336838052861
nfidd-backfill,US National,2016-12-24,2,2017-01-07,ili perc,quantile,0.65,3.3017753280125968
nfidd-backfill,US National,2016-12-24,2,2017-01-07,ili perc,quantile,0.7,3.3793674291914053
nfidd-backfill,US National,2016-12-24,2,2017-01-07,ili perc,quantile,0.75,3.5022949300845125
nfidd-backfill,US National,2016-12-24,2,2017-01-07,ili perc,quantile,0.8,3.681356193426566
nfidd-backfill,US National,2016-12-24,2,2017-01-07,ili perc,quantile,0.85,3.847127094798261
nfidd-backfill,US National,2016-12-24,2,2017-01-07,ili perc,quantile,0.9,4.166090468547401
nfidd-backfill,US National,2016-12-24,2,2017-01-07,ili perc,quantile,0.95,4.7570108209759985
nfidd-backfill,US National,2016-12-24,2,2017-01-07,ili perc,quantile,0.975,5.570723089943797
nfidd-backfill,US National,2016-12-24,2,2017-01-07,ili perc,quantile,0.99,6.131102583016627
nfidd-backfill,US National,2016-12-24,3,2017-01-14,ili perc,quantile,0.01,1.8403709169272413
nfidd-backfill,US National,2016-12-24,3,2017-01-14,ili perc,quantile,0.025,1.9499625840742878
nfidd-backfill,US National,2016-12-24,3,2017-01-14,ili perc,quantile,0.05,2.179472363791139
nfidd-backfill,US National,2016-12-24,3,2017-01-14,ili perc,quantile,0.1,2.403543277624794
nfidd-backfill,US National,2016-12-24,3,2017-01-14,ili perc,quantile,0.15,2.5398452808716483
nfidd-backfill,US National,2016-12-24,3,2017-01-14,ili perc,quantile,0.2,2.6625582969077373
nfidd-backfill,US National,2016-12-24,3,2017-01-14,ili perc,quantile,0.25,2.754326773404518
nfidd-backfill,US National,2016-12-24,3,2017-01-14,ili perc,quantile,0.3,2.8602509917818906
nfidd-backfill,US National,2016-12-24,3,2017-01-14,ili perc,quantile,0.35,2.899960576564128
nfidd-backfill,US National,2016-12-24,3,2017-01-14,ili perc,quantile,0.4,2.973248204734029
nfidd-backfill,US National,2016-12-24,3,2017-01-14,ili perc,quantile,0.45,3.0822971651036726
nfidd-backfill,US National,2016-12-24,3,2017-01-14,ili perc,quantile,0.5,3.198719429654666
nfidd-backfill,US National,2016-12-24,3,2017-01-14,ili perc,quantile,0.55,3.3215348485421687
nfidd-backfill,US National,2016-12-24,3,2017-01-14,ili perc,quantile,0.6,3.3875266386799323
nfidd-backfill,US National,2016-12-24,3,2017-01-14,ili perc,quantile,0.65,3.4726715841402243
nfidd-backfill,US National,2016-12-24,3,2017-01-14,ili perc,quantile,0.7,3.564863408981869
nfidd-backfill,US National,2016-12-24,3,2017-01-14,ili perc,quantile,0.75,3.6738030220152798
nfidd-backfill,US National,2016-12-24,3,2017-01-14,ili perc,quantile,0.8,3.8824416289142416
nfidd-backfill,US National,2016-12-24,3,2017-01-14,ili perc,quantile,0.85,3.956815781375018
nfidd-backfill,US National,2016-12-24,3,2017-01-14,ili perc,quantile,0.9,4.12157753932941
nfidd-backfill,US National,2016-12-24,3,2017-01-14,ili perc,quantile,0.95,4.572525838421211
nfidd-backfill,US National,2016-12-24,3,2017-01-14,ili perc,quantile,0.975,5.1375609312701
nfidd-backfill,US National,2016-12-24,3,2017-01-14,ili perc,quantile,0.99,5.652980906359458
nfidd-backfill,US National,2016-12-24,4,2017-01-21,ili perc,quantile,0.01,1.7187704927896124
nfidd-backfill,US National,2016-12-24,4,2017-01-21,ili perc,quantile,0.025,2.0261090404877953
nfidd-backfill,US National,2016-12-24,4,2017-01-21,ili perc,quantile,0.05,2.1413506211199436
nfidd-backfill,US National,2016-12-24,4,2017-01-21,ili perc,quantile,0.1,2.2764204311611587
nfidd-backfill,US National,2016-12-24,4,2017-01-21,ili perc,quantile,0.15,2.3532928915169737
nfidd-backfill,US National,2016-12-24,4,2017-01-21,ili perc,quantile,0.2,2.486773563615731
nfidd-backfill,US National,2016-12-24,4,2017-01-21,ili perc,quantile,0.25,2.6931969414631367
nfidd-backfill,US National,2016-12-24,4,2017-01-21,ili perc,quantile,0.3,2.7369097526272665
nfidd-backfill,US National,2016-12-24,4,2017-01-21,ili perc,quantile,0.35,2.8211877492281507
nfidd-backfill,US National,2016-12-24,4,2017-01-21,ili perc,quantile,0.4,2.9447229112626836
nfidd-backfill,US National,2016-12-24,4,2017-01-21,ili perc,quantile,0.45,3.070445077462832
nfidd-backfill,US National,2016-12-24,4,2017-01-21,ili perc,quantile,0.5,3.1362602014077767
nfidd-backfill,US National,2016-12-24,4,2017-01-21,ili perc,quantile,0.55,3.272918911214451
nfidd-backfill,US National,2016-12-24,4,2017-01-21,ili perc,quantile,0.6,3.461224423911314
nfidd-backfill,US National,2016-12-24,4,2017-01-21,ili perc,quantile,0.65,3.5580606132345274
nfidd-backfill,US National,2016-12-24,4,2017-01-21,ili perc,quantile,0.7,3.6620092764542806
nfidd-backfill,US National,2016-12-24,4,2017-01-21,ili perc,quantile,0.75,3.798078744626736
nfidd-backfill,US National,2016-12-24,4,2017-01-21,ili perc,quantile,0.8,3.9245466660924313
nfidd-backfill,US National,2016-12-24,4,2017-01-21,ili perc,quantile,0.85,4.246711502482154
nfidd-backfill,US National,2016-12-24,4,2017-01-21,ili perc,quantile,0.9,4.468404116362202
nfidd-backfill,US National,2016-12-24,4,2017-01-21,ili perc,quantile,0.95,4.932272012595657
nfidd-backfill,US National,2016-12-24,4,2017-01-21,ili perc,quantile,0.975,5.4202762193802165
nfidd-backfill,US National,2016-12-24,4,2017-01-21,ili perc,quantile,0.99,6.494411698480783
nfidd-backfill,HHS Region 1,2016-12-24,1,2016-12-31,ili perc,quantile,0.01,1.9604217381731481
nfidd-backfill,HHS Region 1,2016-12-24,1,2016-12-31,ili perc,quantile,0.025,2.0440524018267654
nfidd-backfill,HHS Region 1,2016-12-24,1,2016-12-31,ili perc,quantile,0.05,2.137159333432832
nfidd-backfill,HHS Region 1,2016-12-24,1,2016-12-31,ili perc,quantile,0.1,2.3233526768815005
nfidd-backfill,HHS Region 1,2016-12-24,1,2016-12-31,ili perc,quantile,0.15,2.417627255804896
nfidd-backfill,HHS Region 1,2016-12-24,1,2016-12-31,ili perc,quantile,0.2,2.5694220671663937
nfidd-backfill,HHS Region 1,2016-12-24,1,2016-12-31,ili perc,quantile,0.25,2.622534061718183
nfidd-backfill,HHS Region 1,2016-12-24,1,2016-12-31,ili perc,quantile,0.3,2.7083531404426155
nfidd-backfill,HHS Region 1,2016-12-24,1,2016-12-31,ili perc,quantile,0.35,2.7560127668486016
nfidd-backfill,HHS Region 1,2016-12-24,1,2016-12-31,ili perc,quantile,0.4,2.8099485464061216
nfidd-backfill,HHS Region 1,2016-12-24,1,2016-12-31,ili perc,quantile,0.45,2.859752588618766
nfidd-backfill,HHS Region 1,2016-12-24,1,2016-12-31,ili perc,quantile,0.5,2.948312494728027
nfidd-backfill,HHS Region 1,2016-12-24,1,2016-12-31,ili perc,quantile,0.55,3.030296485597192
nfidd-backfill,HHS Region 1,2016-12-24,1,2016-12-31,ili perc,quantile,0.6,3.1134303252952242
nfidd-backfill,HHS Region 1,2016-12-24,1,2016-12-31,ili perc,quantile,0.65,3.2783922633128646
nfidd-backfill,HHS Region 1,2016-12-24,1,2016-12-31,ili perc,quantile,0.7,3.33954581161931
nfidd-backfill,HHS Region 1,2016-12-24,1,2016-12-31,ili perc,quantile,0.75,3.410775632065079
nfidd-backfill,HHS Region 1,2016-12-24,1,2016-12-31,ili perc,quantile,0.8,3.541507648479441
nfidd-backfill,HHS Region 1,2016-12-24,1,2016-12-31,ili perc,quantile,0.85,3.6602871814756934
nfidd-backfill,HHS Region 1,2016-12-24,1,2016-12-31,ili perc,quantile,0.9,3.9511158028132467
nfidd-backfill,HHS Region 1,2016-12-24,1,2016-12-31,ili perc,quantile,0.95,4.6584829123435165
nfidd-backfill,HHS Region 1,2016-12-24,1,2016-12-31,ili perc,quantile,0.975,4.982695041599177
nfidd-backfill,HHS Region 1,2016-12-24,1,2016-12-31,ili perc,quantile,0.99,5.587807800820137
nfidd-backfill,HHS Region 1,2016-12-24,2,2017-01-07,ili perc,quantile,0.01,1.8228972656063618
nfidd-backfill,HHS Region 1,2016-12-24,2,2017-01-07,ili perc,quantile,0.025,1.8921972529808826
nfidd-backfill,HHS Region 1,2016-12-24,2,2017-01-07,ili perc,quantile,0.05,2.036548012950692
nfidd-backfill,HHS Region 1,2016-12-24,2,2017-01-07,ili perc,quantile,0.1,2.245851687926096
nfidd-backfill,HHS Region 1,2016-12-24,2,2017-01-07,ili perc,quantile,0.15,2.3193741825678473
nfidd-backfill,HHS Region 1,2016-12-24,2,2017-01-07,ili perc,quantile,0.2,2.442706149464631
nfidd-backfill,HHS Region 1,2016-12-24,2,2017-01-07,ili perc,quantile,0.25,2.5676223962955795
nfidd-backfill,HHS Region 1,2016-12-24,2,2017-01-07,ili perc,quantile,0.3,2.733602394200608
nfidd-backfill,HHS Region 1,2016-12-24,2,2017-01-07,ili perc,quantile,0.35,2.787759923625908
nfidd-backfill,HHS Region 1,2016-12-24,2,2017-01-07,ili perc,quantile,0.4,2.8713083543551607
