location,mean_wis,sd_wis,n
HHS Region 6,3.1017863231023357,0.926525424633253,16
HHS Region 2,1.8955341735254079,1.1930478470614065,16
HHS Region 4,1.5685476640478573,0.6672371719972388,16
US National,1.4508379528434456,0.2940998283538762,16
HHS Region 3,1.2680343726763839,0.3428775273399417,16
HHS Region 9,1.117897508900143,0.6861496484972578,16
HHS Region 5,0.8681973445170392,0.4230011172808851,16
HHS Region 7,0.7714806019185074,0.3324030814069193,16
HHS Region 10,0.5589214169854386,0.5108846230326148,16
HHS Region 8,0.42097734987452784,0.21601829080117085,16
HHS Region 1,0.39247224641893075,0.2913099956412067,16
