location,mean_wis,sd_wis,n
HHS Region 6,3.9099803823512005,1.5937188320173334,16
HHS Region 2,2.8304241856290426,1.8512906997298975,16
HHS Region 4,2.4741555619922027,1.485072861500185,16
US National,2.2967047119200457,1.0754196184061813,16
HHS Region 3,2.217036867110619,0.9114531501859722,16
HHS Region 9,1.991347123430033,0.7353426982769541,16
HHS Region 5,1.7085908186697494,1.0343601864472094,16
HHS Region 7,1.6343155600721846,1.1667023948459512,16
HHS Region 10,1.2457902296712267,1.1500967351907294,16
HHS Region 1,1.1285336795068848,0.7796252728861447,16
HHS Region 8,1.0423076084752556,0.7058780449840669,16
