model_id,location,origin_date,horizon,target_end_date,target,output_type,output_type_id,value
nfidd-diff,US National,2016-03-12,1,2016-03-19,ili perc,quantile,0.01,0.3389540766751805
nfidd-diff,US National,2016-03-12,1,2016-03-19,ili perc,quantile,0.025,0.44341625094046083
nfidd-diff,US National,2016-03-12,1,2016-03-19,ili perc,quantile,0.05,0.5175729829775908
nfidd-diff,US National,2016-03-12,1,2016-03-19,ili perc,quantile,0.1,0.5992296292187
nfidd-diff,US National,2016-03-12,1,2016-03-19,ili perc,quantile,0.15,0.698345404540988
nfidd-diff,US National,2016-03-12,1,2016-03-19,ili perc,quantile,0.2,0.7115308494935462
nfidd-diff,US National,2016-03-12,1,2016-03-19,ili perc,quantile,0.25,0.7734686943931661
nfidd-diff,US National,2016-03-12,1,2016-03-19,ili perc,quantile,0.3,0.8036930496370349
nfidd-diff,US National,2016-03-12,1,2016-03-19,ili perc,quantile,0.35,0.8429102302372902
nfidd-diff,US National,2016-03-12,1,2016-03-19,ili perc,quantile,0.4,0.8938480862026977
nfidd-diff,US National,2016-03-12,1,2016-03-19,ili perc,quantile,0.45,0.9168182001320347
nfidd-diff,US National,2016-03-12,1,2016-03-19,ili perc,quantile,0.5,0.9630211376802285
nfidd-diff,US National,2016-03-12,1,2016-03-19,ili perc,quantile,0.55,1.00125249781403
nfidd-diff,US National,2016-03-12,1,2016-03-19,ili perc,quantile,0.6,1.0334380865689925
nfidd-diff,US National,2016-03-12,1,2016-03-19,ili perc,quantile,0.65,1.0856016073613517
nfidd-diff,US National,2016-03-12,1,2016-03-19,ili perc,quantile,0.7,1.1563465671372406
nfidd-diff,US National,2016-03-12,1,2016-03-19,ili perc,quantile,0.75,1.307616462576281
nfidd-diff,US National,2016-03-12,1,2016-03-19,ili perc,quantile,0.8,1.41425414345087
nfidd-diff,US National,2016-03-12,1,2016-03-19,ili perc,quantile,0.85,1.4864093925400597
nfidd-diff,US National,2016-03-12,1,2016-03-19,ili perc,quantile,0.9,1.6910905234068139
nfidd-diff,US National,2016-03-12,1,2016-03-19,ili perc,quantile,0.95,1.8488756429251265
nfidd-diff,US National,2016-03-12,1,2016-03-19,ili perc,quantile,0.975,2.0377021507087503
nfidd-diff,US National,2016-03-12,1,2016-03-19,ili perc,quantile,0.99,2.2237545866506236
nfidd-diff,US National,2016-03-12,2,2016-03-26,ili perc,quantile,0.01,0.3389540766821179
nfidd-diff,US National,2016-03-12,2,2016-03-26,ili perc,quantile,0.025,0.443416250948815
nfidd-diff,US National,2016-03-12,2,2016-03-26,ili perc,quantile,0.05,0.5175729829800492
nfidd-diff,US National,2016-03-12,2,2016-03-26,ili perc,quantile,0.1,0.599229629196151
nfidd-diff,US National,2016-03-12,2,2016-03-26,ili perc,quantile,0.15,0.6983454045133268
nfidd-diff,US National,2016-03-12,2,2016-03-26,ili perc,quantile,0.2,0.7115308495931862
nfidd-diff,US National,2016-03-12,2,2016-03-26,ili perc,quantile,0.25,0.7734686943944319
nfidd-diff,US National,2016-03-12,2,2016-03-26,ili perc,quantile,0.3,0.8036930496066437
nfidd-diff,US National,2016-03-12,2,2016-03-26,ili perc,quantile,0.35,0.8429102302316529
nfidd-diff,US National,2016-03-12,2,2016-03-26,ili perc,quantile,0.4,0.893848086041698
nfidd-diff,US National,2016-03-12,2,2016-03-26,ili perc,quantile,0.45,0.916818200136362
nfidd-diff,US National,2016-03-12,2,2016-03-26,ili perc,quantile,0.5,0.9630211376390049
nfidd-diff,US National,2016-03-12,2,2016-03-26,ili perc,quantile,0.55,1.0012524976753079
nfidd-diff,US National,2016-03-12,2,2016-03-26,ili perc,quantile,0.6,1.0334380865713828
nfidd-diff,US National,2016-03-12,2,2016-03-26,ili perc,quantile,0.65,1.0856016073400379
nfidd-diff,US National,2016-03-12,2,2016-03-26,ili perc,quantile,0.7,1.1563465671715716
nfidd-diff,US National,2016-03-12,2,2016-03-26,ili perc,quantile,0.75,1.3076164626817834
nfidd-diff,US National,2016-03-12,2,2016-03-26,ili perc,quantile,0.8,1.4142541433032894
nfidd-diff,US National,2016-03-12,2,2016-03-26,ili perc,quantile,0.85,1.4864093925106094
nfidd-diff,US National,2016-03-12,2,2016-03-26,ili perc,quantile,0.9,1.691090523432622
nfidd-diff,US National,2016-03-12,2,2016-03-26,ili perc,quantile,0.95,1.8488756428531479
