location,mean_wis,sd_wis,n
HHS Region 6,1.4528035135726842,0.31648099325332557,4
HHS Region 9,0.49650540222467393,0.09824480427215929,4
HHS Region 3,0.43186852034546463,0.121631436166082,4
US National,0.3246941019352453,0.08953123191073928,4
HHS Region 4,0.23644523651870245,0.08759924120320124,4
HHS Region 5,0.2055349760356469,0.05911123690203264,4
HHS Region 2,0.1916579907609382,0.07866574655474792,4
HHS Region 7,0.1307774819624676,0.03295472479339067,4
HHS Region 1,0.10971780803546718,0.029749725432501768,4
HHS Region 8,0.10791574134935202,0.020015090718237337,4
HHS Region 10,0.10523359825017078,0.031788679044953534,4
