location,mean_wis,sd_wis,n
HHS Region 6,2.291686246894986,0.9163787217656658,12
HHS Region 4,1.861288452613769,0.9378778209869951,12
HHS Region 3,1.4295789761869793,0.7422735951370358,12
US National,1.4191538505684143,0.7195941643142186,12
HHS Region 5,1.3137935035785369,0.5845197674150576,12
HHS Region 2,1.248736031273909,1.1097231381409587,12
HHS Region 9,1.1774295103052446,1.0312096201686793,12
HHS Region 7,1.1533176251337347,0.5116214393330484,12
HHS Region 1,1.0155649880346196,0.4893006546827767,12
HHS Region 10,0.7117523484859523,0.5780458626923414,12
HHS Region 8,0.7086133945864147,0.5848777506965533,12
