location,mean_wis,sd_wis,n
HHS Region 9,1.175761013303336,0.5605285670244653,8
HHS Region 6,1.1315295504934328,0.5775718971654688,8
HHS Region 10,0.933899734279409,0.5731402716593766,8
HHS Region 8,0.8948717337341376,0.866945314491204,8
HHS Region 2,0.6395286130532633,0.3136673394888185,8
HHS Region 1,0.6241305895350568,0.5668789800987775,8
US National,0.4791616515318159,0.19214186052001678,8
HHS Region 3,0.413667343964754,0.2882768737445434,8
HHS Region 7,0.4099889858774988,0.38666090128161046,8
HHS Region 5,0.27221726766107635,0.17589353196173999,8
HHS Region 4,0.23122797407906637,0.08502067463196877,8
