model_id,location,origin_date,horizon,target_end_date,target,output_type,output_type_id,value
nfidd-base,US National,2015-12-26,1,2016-01-02,ili perc,quantile,0.01,0.18553607911186631
nfidd-base,US National,2015-12-26,1,2016-01-02,ili perc,quantile,0.025,0.22470028559337932
nfidd-base,US National,2015-12-26,1,2016-01-02,ili perc,quantile,0.05,0.24000344324811754
nfidd-base,US National,2015-12-26,1,2016-01-02,ili perc,quantile,0.1,0.2621881554637721
nfidd-base,US National,2015-12-26,1,2016-01-02,ili perc,quantile,0.15,0.27902834358940753
nfidd-base,US National,2015-12-26,1,2016-01-02,ili perc,quantile,0.2,0.2938395961077434
nfidd-base,US National,2015-12-26,1,2016-01-02,ili perc,quantile,0.25,0.3083812174645587
nfidd-base,US National,2015-12-26,1,2016-01-02,ili perc,quantile,0.3,0.323806057749955
nfidd-base,US National,2015-12-26,1,2016-01-02,ili perc,quantile,0.35,0.3356990712051785
nfidd-base,US National,2015-12-26,1,2016-01-02,ili perc,quantile,0.4,0.3551787385483243
nfidd-base,US National,2015-12-26,1,2016-01-02,ili perc,quantile,0.45,0.36283119535698055
nfidd-base,US National,2015-12-26,1,2016-01-02,ili perc,quantile,0.5,0.38124933696199353
nfidd-base,US National,2015-12-26,1,2016-01-02,ili perc,quantile,0.55,0.3917083724536864
nfidd-base,US National,2015-12-26,1,2016-01-02,ili perc,quantile,0.6,0.4038644838155502
nfidd-base,US National,2015-12-26,1,2016-01-02,ili perc,quantile,0.65,0.41503222397929873
nfidd-base,US National,2015-12-26,1,2016-01-02,ili perc,quantile,0.7,0.43745456249290393
nfidd-base,US National,2015-12-26,1,2016-01-02,ili perc,quantile,0.75,0.45336993943325665
nfidd-base,US National,2015-12-26,1,2016-01-02,ili perc,quantile,0.8,0.47152895099079645
nfidd-base,US National,2015-12-26,1,2016-01-02,ili perc,quantile,0.85,0.493152778400823
nfidd-base,US National,2015-12-26,1,2016-01-02,ili perc,quantile,0.9,0.5117816597764837
nfidd-base,US National,2015-12-26,1,2016-01-02,ili perc,quantile,0.95,0.5513912466019691
nfidd-base,US National,2015-12-26,1,2016-01-02,ili perc,quantile,0.975,0.605909003686085
nfidd-base,US National,2015-12-26,1,2016-01-02,ili perc,quantile,0.99,0.6796142769111088
nfidd-base,US National,2015-12-26,2,2016-01-09,ili perc,quantile,0.01,0.18553675521147728
nfidd-base,US National,2015-12-26,2,2016-01-09,ili perc,quantile,0.025,0.22470050779300754
nfidd-base,US National,2015-12-26,2,2016-01-09,ili perc,quantile,0.05,0.24000419187114605
nfidd-base,US National,2015-12-26,2,2016-01-09,ili perc,quantile,0.1,0.2621890758010537
nfidd-base,US National,2015-12-26,2,2016-01-09,ili perc,quantile,0.15,0.27902938178593995
nfidd-base,US National,2015-12-26,2,2016-01-09,ili perc,quantile,0.2,0.2938408249974758
nfidd-base,US National,2015-12-26,2,2016-01-09,ili perc,quantile,0.25,0.30838180908410157
nfidd-base,US National,2015-12-26,2,2016-01-09,ili perc,quantile,0.3,0.3238066937656412
nfidd-base,US National,2015-12-26,2,2016-01-09,ili perc,quantile,0.35,0.3357005911463856
nfidd-base,US National,2015-12-26,2,2016-01-09,ili perc,quantile,0.4,0.3551803934389196
nfidd-base,US National,2015-12-26,2,2016-01-09,ili perc,quantile,0.45,0.3628316639818721
nfidd-base,US National,2015-12-26,2,2016-01-09,ili perc,quantile,0.5,0.38125120100827775
nfidd-base,US National,2015-12-26,2,2016-01-09,ili perc,quantile,0.55,0.39171005376353407
nfidd-base,US National,2015-12-26,2,2016-01-09,ili perc,quantile,0.6,0.4038662298790147
nfidd-base,US National,2015-12-26,2,2016-01-09,ili perc,quantile,0.65,0.41503469241336105
nfidd-base,US National,2015-12-26,2,2016-01-09,ili perc,quantile,0.7,0.4374547436760924
nfidd-base,US National,2015-12-26,2,2016-01-09,ili perc,quantile,0.75,0.45337255051212644
nfidd-base,US National,2015-12-26,2,2016-01-09,ili perc,quantile,0.8,0.471530379625564
nfidd-base,US National,2015-12-26,2,2016-01-09,ili perc,quantile,0.85,0.4931528795911465
nfidd-base,US National,2015-12-26,2,2016-01-09,ili perc,quantile,0.9,0.5117826564751634
nfidd-base,US National,2015-12-26,2,2016-01-09,ili perc,quantile,0.95,0.551388245512129
nfidd-base,US National,2015-12-26,2,2016-01-09,ili perc,quantile,0.975,0.60591014467441
nfidd-base,US National,2015-12-26,2,2016-01-09,ili perc,quantile,0.99,0.6796167644734292
nfidd-base,US National,2015-12-26,3,2016-01-16,ili perc,quantile,0.01,0.1855360710532295
nfidd-base,US National,2015-12-26,3,2016-01-16,ili perc,quantile,0.025,0.2247002812041702
nfidd-base,US National,2015-12-26,3,2016-01-16,ili perc,quantile,0.05,0.2400034733525772
nfidd-base,US National,2015-12-26,3,2016-01-16,ili perc,quantile,0.1,0.26218814952771835
nfidd-base,US National,2015-12-26,3,2016-01-16,ili perc,quantile,0.15,0.279028375246103
nfidd-base,US National,2015-12-26,3,2016-01-16,ili perc,quantile,0.2,0.2938396370928389
nfidd-base,US National,2015-12-26,3,2016-01-16,ili perc,quantile,0.25,0.30838117507631574
nfidd-base,US National,2015-12-26,3,2016-01-16,ili perc,quantile,0.3,0.32380603812992037
nfidd-base,US National,2015-12-26,3,2016-01-16,ili perc,quantile,0.35,0.3356990552445262
nfidd-base,US National,2015-12-26,3,2016-01-16,ili perc,quantile,0.4,0.35517880179860667
nfidd-base,US National,2015-12-26,3,2016-01-16,ili perc,quantile,0.45,0.36283113537787715
nfidd-base,US National,2015-12-26,3,2016-01-16,ili perc,quantile,0.5,0.38124935142681743
nfidd-base,US National,2015-12-26,3,2016-01-16,ili perc,quantile,0.55,0.39170836423942895
nfidd-base,US National,2015-12-26,3,2016-01-16,ili perc,quantile,0.6,0.4038644256356335
nfidd-base,US National,2015-12-26,3,2016-01-16,ili perc,quantile,0.65,0.4150322062000166
nfidd-base,US National,2015-12-26,3,2016-01-16,ili perc,quantile,0.7,0.4374545642833535
nfidd-base,US National,2015-12-26,3,2016-01-16,ili perc,quantile,0.75,0.45336998341459545
nfidd-base,US National,2015-12-26,3,2016-01-16,ili perc,quantile,0.8,0.4715290186822866
nfidd-base,US National,2015-12-26,3,2016-01-16,ili perc,quantile,0.85,0.49315280095725345
nfidd-base,US National,2015-12-26,3,2016-01-16,ili perc,quantile,0.9,0.5117816366903316
nfidd-base,US National,2015-12-26,3,2016-01-16,ili perc,quantile,0.95,0.5513912228707322
nfidd-base,US National,2015-12-26,3,2016-01-16,ili perc,quantile,0.975,0.6059089397415985
nfidd-base,US National,2015-12-26,3,2016-01-16,ili perc,quantile,0.99,0.6796141909661365
nfidd-base,US National,2015-12-26,4,2016-01-23,ili perc,quantile,0.01,0.1855367566694146
nfidd-base,US National,2015-12-26,4,2016-01-23,ili perc,quantile,0.025,0.22470050424124433
nfidd-base,US National,2015-12-26,4,2016-01-23,ili perc,quantile,0.05,0.240004197373501
nfidd-base,US National,2015-12-26,4,2016-01-23,ili perc,quantile,0.1,0.26218908786809975
nfidd-base,US National,2015-12-26,4,2016-01-23,ili perc,quantile,0.15,0.2790293559383589
nfidd-base,US National,2015-12-26,4,2016-01-23,ili perc,quantile,0.2,0.2938407896515258
nfidd-base,US National,2015-12-26,4,2016-01-23,ili perc,quantile,0.25,0.308381820905396
nfidd-base,US National,2015-12-26,4,2016-01-23,ili perc,quantile,0.3,0.32380670511763443
nfidd-base,US National,2015-12-26,4,2016-01-23,ili perc,quantile,0.35,0.3357005415664778
nfidd-base,US National,2015-12-26,4,2016-01-23,ili perc,quantile,0.4,0.3551803366741194
nfidd-base,US National,2015-12-26,4,2016-01-23,ili perc,quantile,0.45,0.36283171605416215
nfidd-base,US National,2015-12-26,4,2016-01-23,ili perc,quantile,0.5,0.3812512220168839
nfidd-base,US National,2015-12-26,4,2016-01-23,ili perc,quantile,0.55,0.3917100553434084
nfidd-base,US National,2015-12-26,4,2016-01-23,ili perc,quantile,0.6,0.40386625508255247
